year,Annual,DJFM,DJF,MAM,JJA,SON,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1813,-0.096,-0.117,-0.097,0.074,-0.305,-0.102,-0.42,0.785,-0.175,-0.152,0.549,-0.669,-0.452,0.206,-0.203,-0.094,-0.008,-0.52
1814,-0.139,-0.503,-0.494,-0.359,0.239,-0.164,-0.918,-0.044,-0.53,0.27,-0.816,-0.267,0.241,0.742,-0.214,-0.212,-0.067,0.146
1815,0.084,0.186,0.004,0.349,0.082,-0.141,-0.643,0.51,0.734,-0.221,0.533,0.006,0.003,0.238,0.043,-0.289,-0.177,0.273
1816,-0.125,0,0.033,-0.209,-0.009,-0.257,-0.19,0.017,-0.099,-0.549,0.021,-0.201,-0.18,0.355,-0.482,-0.152,-0.137,0.093
1817,0.205,0.26,0.263,0.057,0.846,-0.244,0.224,0.473,0.252,-0.03,-0.05,0.679,0.961,0.898,-0.491,-0.673,0.431,-0.209
1818,-0.05,0.239,0.101,-0.091,-0.034,-0.151,0.401,0.11,0.655,-0.38,-0.549,0.318,0.223,-0.641,-0.456,0.064,-0.06,-0.283
1819,-0.007,0.027,0.06,0.064,-0.101,-0.094,0.279,0.183,-0.071,0.031,0.231,0.506,-0.403,-0.405,0.223,-0.112,-0.393,-0.158
1820,0.037,-0.216,-0.177,0.175,0.272,-0.068,-0.229,-0.144,-0.334,0.03,0.828,0.534,-0.122,0.405,0.253,-0.034,-0.423,-0.317
1821,0.208,-0.12,-0.234,0.288,0.066,0.481,-0.304,-0.082,0.223,0.135,0.506,-0.584,0.664,0.12,0.608,0.278,0.556,0.379
1822,-0.136,0.217,0.154,-0.188,-0.168,-0.017,-0.295,0.378,0.407,-0.101,-0.87,-0.599,-0.08,0.175,-0.592,0.091,0.45,-0.592
1823,0.074,-0.266,-0.33,0.122,0.37,-0.113,-0.603,0.206,-0.072,-0.092,0.531,-0.476,0.738,0.848,-0.068,-0.198,-0.072,0.152
1824,0.034,-0.058,-0.041,-0.117,-0.034,0.232,-0.125,-0.149,-0.109,0.121,-0.362,-0.653,0.299,0.251,0.073,0.159,0.463,0.437
1825,-0.198,0.01,0.166,-0.162,-0.551,-0.053,-0.097,0.158,-0.457,0.11,-0.138,-0.316,-1.23,-0.108,-0.281,0.131,-0.01,-0.137
1826,-0.044,-0.068,0.015,-0.117,0.077,-0.162,-0.437,0.619,-0.315,0.642,-0.678,-0.267,0.426,0.072,-0.169,0.083,-0.4,-0.105
1827,0.03,-0.017,-0.21,0.222,0.115,-0.207,-0.13,-0.394,0.56,0.091,0.016,0.036,0.659,-0.35,-0.273,-0.245,-0.104,0.488
1828,0.073,0.112,0.171,0.111,0.043,-0.032,0.144,-0.12,-0.065,0.506,-0.108,0.329,-0.368,0.167,-0.16,0.014,0.05,0.485
1829,-0.216,-0.254,-0.091,-0.391,0.055,-0.111,-0.742,-0.015,-0.745,0.159,-0.587,-0.35,0.041,0.473,0.08,-0.141,-0.273,-0.489
1830,0.115,-0.184,-0.34,0.339,0.271,0.155,-0.599,0.069,0.284,0.614,0.118,0.027,0.527,0.258,0.097,0.104,0.263,-0.375
1831,-0.07,-0.103,-0.176,-0.37,-0.129,0.205,-0.5,0.346,0.117,-0.549,-0.678,0.209,-0.101,-0.494,-0.195,0.529,0.281,0.192
1832,0.09,-0.034,-0.048,-0.001,0.241,0.161,-0.238,-0.096,0.008,-0.159,0.148,0.174,0.004,0.543,0.286,0.322,-0.124,0.212
1833,0,-0.077,0.097,-0.121,0.009,-0.146,-0.328,0.407,-0.6,0.161,0.077,0.56,-0.187,-0.347,-0.551,-0.235,0.349,0.694
1834,-0.135,0.359,0.453,-0.096,-0.426,-0.201,0.342,0.322,0.078,-0.162,-0.202,0.076,-0.706,-0.647,-0.165,-0.04,-0.4,-0.117
1835,-0.08,0.08,0.113,0.127,-0.391,-0.104,-0.053,0.51,-0.02,0.218,0.183,-0.134,-0.32,-0.72,-0.088,-0.108,-0.117,-0.307
1836,0.037,0.113,-0.054,-0.172,0.239,0.057,0.254,-0.108,0.616,0.115,-1.248,0.472,0.775,-0.53,-0.025,0.025,0.169,-0.065
1837,-0.174,-0.112,0.055,-0.413,-0.329,-0.027,-0.202,0.432,-0.613,-0.321,-0.304,-0.237,-0.447,-0.304,-0.548,0.3,0.166,-0.015
1838,-0.1,-0.287,-0.363,-0.266,0.55,-0.294,-0.677,-0.399,-0.057,-0.052,-0.688,0.367,0.635,0.648,-0.405,0.001,-0.477,-0.099
1839,-0.006,0.028,0.072,-0.363,0.484,-0.22,0.021,0.295,-0.107,-0.18,-0.803,0.129,0.914,0.409,0.265,-0.576,-0.349,-0.093
1840,-0.072,-0.137,0.083,-0.39,0.28,-0.099,0.357,-0.013,-0.8,-0.454,0.083,0.504,0.543,-0.208,0.124,-0.502,0.082,-0.576
1841,0.072,-0.259,-0.428,0.14,0.258,0.095,-0.287,-0.422,0.248,-0.089,0.26,0.038,-0.113,0.848,0.071,0.036,0.179,0.092
1842,-0.069,0.154,0.074,-0.139,-0.089,-0.222,-0.261,0.39,0.393,-0.969,0.159,-0.16,-0.076,-0.031,-0.509,-0.187,0.029,0.394
1843,0.107,-0.135,-0.071,0.169,0.318,0.071,0.171,-0.778,-0.324,0.561,0.271,-0.359,0.85,0.465,-0.177,0.326,0.066,0.212
1844,-0.242,-0.026,-0.013,-0.445,-0.002,-0.172,-0.191,-0.059,-0.063,0.175,-1.447,0.054,-0.19,0.129,-0.337,0.005,-0.185,-0.792
1845,-0.1,-0.404,-0.412,-0.457,0.163,-0.054,-0.12,-0.325,-0.377,-0.482,-0.511,-0.095,0.001,0.583,-0.235,0.064,0.009,0.288
1846,-0.089,0.236,0.22,0.033,-0.023,-0.286,0.251,0.122,0.283,-0.124,-0.06,-0.46,0.381,0.011,-0.71,-0.014,-0.132,-0.61
1847,-0.148,-0.311,-0.322,-0.007,-0.482,0.017,-0.293,-0.065,-0.277,-0.09,0.345,-0.164,-0.751,-0.53,0.113,-0.175,0.114,-0.001
1848,0.12,-0.035,-0.064,-0.221,0.764,-0.057,-0.605,0.414,0.051,-0.325,-0.39,0.644,0.736,0.912,-0.154,-0.021,0.004,0.179
1849,-0.105,0.152,0.272,-0.204,0.017,-0.302,0.127,0.509,-0.207,-0.393,-0.013,-0.577,0.234,0.395,-0.643,-0.18,-0.084,-0.431
1850,0.03,-0.166,-0.093,-0.073,0.168,-0.054,-0.449,0.601,-0.387,0.237,-0.07,0.001,-0.229,0.73,-0.149,-0.317,0.304,0.089
1851,0.012,0.169,0.137,-0.007,0.203,-0.258,0.411,-0.089,0.263,-0.239,-0.044,0.857,-0.422,0.172,-0.496,0.298,-0.574,0.011
1852,0.052,-0.02,0.183,-0.325,0.078,0.064,0.438,0.101,-0.629,-0.357,0.012,0.782,-0.648,0.1,-0.035,0.145,0.081,0.633
1853,-0.014,-0.056,0.025,-0.239,0.537,0.04,0.093,-0.652,-0.297,0.375,-0.794,0.132,1.376,0.104,0.057,0.222,-0.158,-0.632
1854,0.187,-0.028,-0.046,0.161,0.393,-0.053,0.197,0.298,0.023,0.023,0.436,0.292,0.041,0.846,0.203,0.104,-0.465,0.243
1855,-0.046,-0.244,-0.245,-0.133,0.481,-0.197,-0.351,-0.627,-0.243,0.137,-0.292,0.296,0.316,0.831,-0.447,0.238,-0.382,-0.031
