year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1808,1014.96,1023.68,1024.21,1015.21,1016.11,1017.65,1016.27,1014.09,1012.58,1010.5,1013.8,1012.81
1809,1003.92,1011.21,1021.43,1012.33,1015.66,1016.03,1013.34,1010.22,1009.47,1024.46,1017.8,1005.25
1810,1024.64,1015.65,1009.28,1013.03,1015.08,1021.49,1011.96,1014.48,1019.45,1016.61,1001.5,1011.41
1811,1016.98,1004.09,1023.25,1009.94,1011.04,1015.19,1018.4,1016.35,1020.07,1008.64,1019.49,1011.66
1812,1016.54,1008.38,1012.14,1017.43,1015.3,1017.45,1018.38,1018.51,1021.78,1002.57,1015.49,1019.49
1813,1024.54,1015.08,1026.48,1017.86,1011.94,1019.62,1014.49,1022.12,1019.19,1007.63,1012.58,1014.15
1814,1005.95,1022.9,1012.11,1014.63,1018.73,1019.52,1017.03,1017.42,1021.19,1012.7,1011.33,1010.08
1815,1015.84,1013.97,1012.33,1015.1,1016.15,1013.71,1020.23,1017.4,1018.22,1014.62,1019.74,1013.83
1816,1009.9,1016.14,1012.53,1009.58,1013.18,1015.66,1007.23,1016.22,1018.11,1012.97,1012.32,1012.91
1817,1014.85,1018.56,1015.13,1027.69,1010.04,1013.91,1012.7,1009.65,1017.64,1018.54,1019.37,1006.95
1818,1014.56,1011.69,1007.77,1009.85,1014.28,1019.62,1020.3,1021.55,1014.43,1015.19,1014.81,1023.02
1819,1013.33,1009.03,1016.35,1012.3,1013.83,1015.87,1018.08,1018.47,1017.54,1012.73,1010.56,1010.88
1820,1017.11,1019.08,1016.52,1017.2,1012.92,1017.12,1016.88,1014.86,1018.87,1006.73,1014.94,1018.59
1821,1016.95,1029.22,1007.84,1007.84,1015.12,1020.72,1016.3,1016.38,1014.18,1016.17,1013.29,1003.02
1822,1024.56,1023.85,1021.33,1017.53,1018.13,1021.07,1011.5,1015.27,1017.63,1008.4,1011.53,1023.1
1823,1010.01,1001.3,1013.71,1014.62,1016.99,1016.27,1013.47,1016,1019.16,1009.82,1023.82,1012.34
1824,1022.32,1013.85,1013.18,1015.36,1018.12,1015.56,1019.42,1016.98,1015.28,1007.58,1007.75,1014.19
1825,1027.88,1024.92,1023.28,1019.58,1017.94,1018.56,1022.68,1016.05,1014.95,1017.79,1010.12,1004.69
1826,1021.17,1018.08,1018.68,1017.76,1017.99,1024.77,1014.92,1016.6,1014.67,1015.16,1012.57,1015.34
1827,1014.17,1020.69,1008.65,1017.49,1010.47,1015.88,1020.97,1018.12,1017.81,1010.19,1018.58,1013.18
1828,1017.29,1012.52,1015.61,1010.45,1013.3,1017.55,1007.82,1013.24,1016.26,1020.85,1015.1,1018.09
1829,1012.03,1021.06,1013.6,1002.81,1019.36,1018.65,1011.37,1013.75,1009.83,1019.01,1018.22,1023.45
1830,1018.83,1015.76,1021.42,1009.9,1013.26,1011.79,1015.94,1013.89,1010.45,1025.78,1012.87,1005.78
1831,1014.26,1013.64,1014.16,1008.64,1014.87,1016.37,1016.87,1015.87,1015.49,1014.08,1015.25,1011.81
1832,1018.79,1021.59,1015.9,1018.29,1016.34,1013.36,1021.17,1013.53,1022.18,1020.67,1013.78,1017.73
1833,1026.49,1003.56,1013.78,1010.36,1021.57,1012.04,1018.05,1016.77,1014.6,1012.19,1016.25,1009.14
1834,1010.94,1024.21,1026.07,1023.93,1018.74,1017.74,1016.09,1014.01,1020.71,1019.72,1016.74,1029.22
1835,1021.89,1013.58,1016.6,1022.42,1013.89,1019.2,1019.49,1017.01,1008.88,1011.67,1016.91,1025.13
1836,1017.62,1012.61,1003.08,1013.38,1024.13,1015.26,1017.3,1019.03,1013.36,1012.5,1006.29,1012.25
1837,1017.2,1017.27,1017.73,1011.5,1016.35,1017.82,1016.63,1017.15,1014.18,1022.07,1013.61,1017.75
1838,1016.48,1005.51,1012.45,1011.21,1014.44,1013.29,1017.19,1014.88,1017.31,1017.69,1003.19,1021.72
1839,1015.64,1018.31,1012.38,1021.22,1016.71,1014.38,1014.46,1017.45,1006.36,1018.75,1008.21,1009.45
1840,1012.42,1016.31,1027.2,1020.05,1014,1016.91,1013.84,1015.2,1011.11,1017.62,1006.21,1023.39
1841,1012.35,1011.97,1016.02,1013.52,1013.88,1016.19,1012.82,1014.7,1010.29,1003.82,1011.02,1008.48
1842,1019.2,1017.89,1014.23,1019.99,1015.56,1018.55,1016.05,1017.73,1012.41,1017.55,1008.31,1022.04
1843,1010.97,1005.07,1014.78,1011.63,1010.29,1012.35,1015.7,1016.17,1022.94,1009.38,1013.14,1030.78
1844,1018.82,1006.11,1012.47,1022.8,1020.99,1016.34,1014.98,1012.03,1017.83,1008.32,1011.6,1019.66
1845,1012.63,1017.31,1017.73,1012.89,1013.51,1015.84,1015.19,1011.9,1015.02,1018.79,1009.27,1011.98
1846,1011.97,1018.37,1011.65,1008.89,1015.74,1018.62,1015.17,1013.91,1016.98,1006.99,1017.36,1013.57
1847,1014.26,1016.09,1018.65,1011.17,1014.9,1016.64,1020.27,1018.06,1017.2,1016.71,1018.4,1013.06
1848,1016.89,1006.71,1004.84,1009.45,1020.65,1010.5,1017.34,1012.59,1016.81,1011.21,1015.92,1016.36
1849,1015.09,1027.06,1020.46,1007.24,1015.08,1018.35,1015.63,1017.37,1015.77,1014.3,1014.5,1016.81
1850,1018.87,1017.27,1024.72,1009.25,1012.96,1019.07,1016.28,1015.34,1021.09,1012.73,1014.05,1020.67
1851,1011.46,1019.7,1009.96,1013.84,1019.19,1019.28,1013.34,1019.5,1023.96,1013.38,1015.74,1027.63
1852,1010.36,1018.01,1023.42,1021.15,1015.34,1007.5,1017.27,1010.65,1013.98,1011.88,1004.08,1008.2
1853,1007.96,1006.74,1015.46,1013.03,1014.02,1012.95,1013.52,1015.43,1016.53,1007.33,1020.65,1015.18
1854,1009.67,1024.09,1029.15,1022.05,1011.37,1013.22,1015.94,1018.71,1023.85,1012.94,1012.26,1014.82
1855,1022.99,1009.1,1007.26,1020.43,1011.48,1017.73,1014,1018.06,1021.46,1005.9,1017.92,1014.18
1856,1004.54,1018.36,1023,1009.12,1010.42,1018.19,1016.65,1013.95,1010.68,1022.27,1019.3,1010.69
1857,1010.29,1021.01,1013.13,1010.02,1015.12,1017.55,1017.16,1016.86,1015.11,1012.19,1019.18,1027.73
1858,1028.54,1017.32,1014.92,1015.52,1014.66,1019.42,1015.07,1016.56,1017.54,1016.89,1014.16,1014.95
1859,1024.14,1016.52,1015.77,1009.57,1015.2,1014.31,1020.29,1016.28,1012.33,1006.62,1016.47,1009.81
1860,1006.23,1017.74,1011.28,1015.2,1013.46,1008.76,1017.24,1007.38,1014.35,1017.67,1012.35,1005.56
1861,1023.11,1012.01,1009.57,1022.67,1019.96,1014.92,1008.9,1017.59,1012.86,1017.26,1007.49,1021.83
1862,1012.64,1019.37,1005.31,1017.42,1012.78,1012.67,1014.26,1015.13,1017.63,1013.28,1015.49,1017.88
1863,1009.15,1027.49,1012.91,1016.35,1017.65,1013.13,1021.18,1013.72,1012.11,1010.16,1018.13,1020.49
1864,1024.06,1014.32,1005.86,1019.8,1016.77,1015.12,1017.63,1019.74,1014.93,1011.84,1009.31,1018
1865,1002.59,1014.13,1013.28,1021.03,1014.61,1023.56,1015.5,1012.65,1024.9,1003.4,1012.91,1024.7
1866,1012.32,1006.52,1006.75,1013.95,1016.11,1014.7,1014.57,1010.15,1007.89,1020.1,1015.21,1015.52
1867,1006.22,1019.73,1010.01,1010.17,1013.53,1020.19,1013.25,1016.68,1019.59,1014.4,1026.74,1017.62
1868,1014.07,1021.68,1016.74,1014.8,1017.2,1021.76,1018.7,1013.46,1011.99,1015.57,1017.05,1001.48
1869,1018.11,1015.94,1010.19,1016.82,1010.59,1019.69,1019.95,1021.33,1010.31,1017.95,1014.67,1009.89
1870,1016.61,1011.99,1018,1022.12,1018.92,1020.56,1016.23,1015.75,1019.2,1007.92,1010.18,1013.76
1871,1010.75,1017.33,1018.51,1010.57,1019.31,1014.19,1011.81,1017.53,1012.99,1015.24,1016.35,1020.15
1872,1004.53,1010.49,1010.03,1013.48,1013.41,1013.38,1014.2,1015.29,1011.64,1006.74,1006.29,1002.78
1873,1008.24,1019.39,1009.87,1016.49,1015.52,1015.4,1015.39,1014.46,1015.36,1011.92,1012.43,1026.4
1874,1018.8,1017.7,1023.19,1012.63,1015.72,1020.35,1016.45,1015.15,1014.15,1012.36,1015.18,1009.37
1875,1014.66,1018.08,1021.62,1018.49,1017.02,1013.69,1015.31,1017.88,1017.94,1009.24,1009.85,1020.63
1876,1025.98,1010.07,1001.89,1011.68,1020.99,1016.14,1019.05,1014.61,1009.5,1014.14,1012.58,999.24
1877,1011.14,1014,1008.38,1008.73,1012.49,1016.96,1013.9,1012.22,1018.66,1017.54,1006.41,1017.89
1878,1021.98,1026.14,1018.97,1011.02,1009.31,1014.62,1017.68,1008.26,1016.3,1009.01,1007.94,1007.27
1879,1017.69,1001.7,1016.12,1006.16,1016.85,1010.12,1009.67,1011.15,1015.82,1020.77,1023.79,1027.55
1880,1029.77,1010.16,1020.5,1012.2,1019.31,1013.31,1013.06,1016.21,1015.81,1012.5,1015.5,1013.96
1881,1013.05,1011.08,1013.31,1014.81,1019.95,1015.87,1016.46,1011.42,1015.64,1016.57,1015.09,1016.54
1882,1028.84,1024.54,1017.21,1009.03,1018.02,1013.48,1012.23,1013.54,1011.76,1010.68,1006.76,1005.35
1883,1013.9,1019.18,1014.1,1016.73,1015.03,1015.39,1011.75,1017.1,1010.4,1015.62,1010.75,1022.02
1884,1019.95,1013.83,1014.49,1010.43,1016.51,1017.57,1014.86,1016.8,1016.87,1018.91,1021.84,1011.84
1885,1013.04,1006.96,1019.21,1009.48,1009.7,1017.55,1022.29,1015.55,1012.68,1006.42,1012.89,1023.83
1886,1004.85,1020.73,1015.54,1013.8,1014.15,1015.77,1013.85,1016.08,1017.55,1009.41,1013.25,1006.34
1887,1017.08,1027.46,1018.96,1016.38,1016.86,1022.87,1017.85,1015.9,1014.24,1019.59,1006.42,1011.68
1888,1024.61,1014.99,1003.18,1012.61,1018.25,1014.01,1008.86,1016.76,1021.46,1018.74,1009.59,1016.07
1889,1022.44,1013.15,1015.92,1007.53,1010.75,1017.4,1014.27,1012.56,1017.91,1006.09,1023.88,1022.97
1890,1014.48,1023.2,1011.18,1010.31,1010.99,1016.56,1013.23,1012.67,1021.87,1019.85,1012.41,1017.8
1891,1021.56,1032.23,1010.45,1015.6,1008.98,1017.06,1014.14,1010.47,1016.78,1008.92,1011.26,1015.96
1892,1012.17,1009.7,1017.29,1016.71,1016.32,1016.51,1017.13,1014.18,1016.12,1006.91,1018.5,1016.54
1893,1018.79,1006.73,1021.31,1022.21,1018.57,1016.82,1013.21,1017.6,1012.28,1013.79,1015.97,1016.72
1894,1012.75,1018.44,1015.92,1012.27,1014.45,1017.02,1013.01,1014.22,1020.8,1013.72,1016.04,1017.4
